ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
F210A	0.23107426552893123	14.230512457372708	4.303609405758379	8.943846122520376e-4	0.00661810573690209	-1.8062014479692712
MTU1	0.3422495413691231	12.977760460906836	4.3023235289633295	8.964937675427054e-4	0.006627406872794316	-1.8086283143413997
STX17	0.34732343033790736	13.670298780726288	4.3001429901439785	9.000821444288759e-4	0.006641308194709078	-1.8127440087251498
IDHP	0.41231522432089496	17.696382559421846	4.292524198516519	9.127368578633891e-4	0.006715567212491558	-1.8271272827864173
IDH3A	0.3585993812917663	16.517560030371662	4.277535724364802	9.381718515667175e-4	0.006876684721615799	-1.8554373197113767
GLPK3;GLPK	0.40942942865750936	13.117523619107825	4.276579274158971	9.39819564384468e-4	0.00688227566122223	-1.857244465807205
RM37	0.37878720952312583	14.805504813215949	4.27475074250583	9.429779690609576e-4	0.00689464698255817	-1.8606995533696784
RM23	0.33992657879233545	16.33576000886075	4.274350454667261	9.436708436700659e-4	0.00689464698255817	-1.8614559498473042
GP155	0.6910651314563682	12.367255003589054	4.274063090266458	9.441685786838693e-4	0.00689464698255817	-1.8619989705602986
CADH6	0.2777964494015616	14.618346052136628	4.273383921185836	9.453460244456783e-4	0.006896769260894973	-1.8632823947650188
RN170	0.21803566114859907	14.643861104929945	4.266508733456933	9.573509578549403e-4	0.006971271909398755	-1.8762764939069632
RT35	0.2828431331260246	13.57690229021002	4.255617641173322	9.766913466443738e-4	0.007092183569424178	-1.8968683257497085
GRPE1	0.40273879625200665	17.759018441534362	4.250564848339246	9.858006452438369e-4	0.007144987528482125	-1.9064248330397193
SKA3	0.7584212062711658	11.002009018146264	4.242266545144943	0.0010009517882039471	0.007248046607879047	-1.9221240027455675
ENAH	0.6076042939513971	16.254715421189342	4.2416914516384034	0.0010020106665699293	0.007248964608292409	-1.9232121934009525
INF2	0.19690011938379365	15.43618473274645	4.237716832911638	0.001009360524916359	0.007295350187987475	-1.9307336576337812
ITA5	0.3308314388653133	16.67619370946034	4.234318293273355	0.0010156892212726748	0.007334275834575295	-1.937165931502637
FZD5	0.6794909590746816	12.71563602850432	4.231459675514725	0.0010210441895411064	0.007359277722021487	-1.942577005281315
SPAG5	0.5765747727367487	11.673155714664716	4.228395222042207	0.001026817110835691	0.007374051803996231	-1.9483784005236062
ABD12	0.23844054991482175	15.920870956138033	4.224365298723255	0.001034460127123147	0.007421583402801396	-1.956008642711252
HACD3	0.4389092125862141	16.453594049668144	4.222807713370601	0.001037429897699801	0.007436029782867607	-1.958958100327421
MTX3	0.37793908150256755	15.440630678465435	4.221692618487535	0.001039561395736619	0.007444446569653487	-1.961069767143746
TX264	0.4513238455432162	15.076038799074334	4.219943827106584	0.0010429133053505594	0.007461579370479577	-1.9643816614352883
KI21A	0.2743775025241185	13.12388996975903	4.214446796078223	0.0010535222638174413	0.007509846604682163	-1.9747935479396839
LONF2	0.6648931370325909	12.910161313056019	4.2087690241208815	0.0010645969744802913	0.0075749045476058785	-1.9855501602851469
CTRO	0.4400630665196742	13.437280618566932	4.205143240791781	0.0010717319685287895	0.007618701571525042	-1.9924205150906973
MRTFB	0.268705198582247	13.817735857978635	4.199999011801912	0.001081939765849725	0.00768424251964686	-2.0021697910190133
UBE2S	0.41775276567291086	13.023619790251287	4.19372157956961	0.0010945321769184108	0.007766584616692044	-2.0140693503974108
F131B	0.7832301993777355	11.194047686612283	4.188859114172611	0.0011043900057635286	0.007822259630986305	-2.0232886759542694
EFR3B	0.27041253284386596	13.794066812097057	4.181532920459827	0.0011194158253468767	0.007885594994314004	-2.037182534573791
NDK6	0.3184844080196725	13.344917266802918	4.176535551536715	0.0011297860738507571	0.00793707885847998	-2.046662093843599
WDFY2	0.39743850689665644	13.187078083182744	4.174287488171086	0.0011344833710082805	0.007962885538205232	-2.0509270546388043
SETD9	0.49369090429357426	10.78322595466014	4.171738704367612	0.0011398333781947405	0.00798602178578423	-2.055762972300256
CHSTA	0.4657571315207937	12.827145753183897	4.163794973306847	0.0011566750500620101	0.008089444122600946	-2.0708379322019894
KPCA	0.40145461992031767	15.322304359746681	4.1539178555603105	0.0011779740256360892	0.008208874549616368	-2.0895881459984773
NACAD	0.3136288645577835	13.651257215073608	4.147044557587734	0.0011930336993067126	0.008296662493628475	-2.102640096445975
NPC2	0.577133292457087	16.555202070530267	4.146709868061042	0.0011937720625395736	0.008296662493628475	-2.10327573423329
PCBP4	0.3955400643476619	12.380092194520705	4.144394231097398	0.001198893535034778	0.008324816983897738	-2.10767377300943
FZD1	0.6096413280507108	11.670508050417745	4.1433346906843	0.0012012444533597761	0.008333700369115949	-2.1096862586986314
EXTL2	0.3589722441833489	13.446096365413855	4.13777268444325	0.0012136636157419136	0.008404863704029262	-2.120251974094627
5NT3A	0.3219071630708418	13.306300275277504	4.136983068261768	0.001215437406246821	0.008409658993222	-2.121752119458054
SDC1	0.5304057529744501	15.186993107189311	4.134786702333279	0.0012203853708052045	0.008436388470001846	-2.125925090359285
MGST1	0.711346804441296	15.043455041654738	4.129147195265492	0.001233185279723464	0.00850974438368179	-2.136641340696314
SPIT2	0.9204797274331452	11.61100733590345	4.123320737994526	0.0012465547814197136	0.008571579606632284	-2.147715099020945
NOTC3	0.2338161237616134	14.24469297684937	4.120588417731125	0.0012528757385395675	0.008599836380072565	-2.1529089311299243
IBP3	0.6387093891576473	12.35118257170705	4.111096695676528	0.0012750915435031961	0.008729213850197497	-2.1709554960346917
PSF3	0.6730540326162973	13.185147005188647	4.107552714942487	0.00128349002234153	0.008778981445690483	-2.177695180525209
