"ProteinID","f_control_1_imputed_intensity","f_control_2_imputed_intensity","f_control_3_imputed_intensity","f_wvirus_1_imputed_intensity","f_wvirus_2_imputed_intensity","f_wvirus_3_imputed_intensity","m_control_1_imputed_intensity","m_control_2_imputed_intensity","m_control_3_imputed_intensity","m_wvirus_1_imputed_intensity","m_wvirus_2_imputed_intensity","m_wvirus_3_imputed_intensity"
"PRRC2B","13.9152538513744","14.0431042024881","13.8451175680026","14.39616992718","14.2088135152323","14.1664455670723","14.4107362052999","14.3126560986063","14.4529940566508","14.412239036907","14.536987803327","14.5211955450177"
"TJAP1","13.619280026196","13.77474588621","13.6488069497258","13.4381290792614","13.4020127657781","13.2532152073515","13.973204068234","13.71939951704","13.5918612419239","12.9029779958324","12.8451156073116","13.6905764180701"
"RRP12","15.600299143638","15.5623646712256","15.4638851296401","15.3829448149457","15.1429047875086","15.0876492988607","15.8154458419328","15.8396024035279","15.8967084509605","15.2895326332451","15.3979219232641","14.6086937559324"
"COA6","10.1822161685842","10.0936060972805","11.5135958915465","14.7629166172226","15.8732902988747","16.0910282898755","11.0931454317602","10.6199125326463","10.1705697905953","15.1725017355211","15.3822693880015","15.9014561779043"
"TOR1AIP1","16.0269642754921","16.1067980544061","16.1183916055281","16.245643688839","16.0423925461944","16.1487029785582","15.8839749023528","15.8520417663924","15.7438535270048","15.6477057501022","15.4979141927543","15.6259513643691"
"CEP78","11.6276068381296","11.6341485286505","11.9068830815523","10.9176015765172","11.3153019039017","12.0425656840918","12.6761532296534","12.6713486650592","12.7078789091076","11.9215769145977","11.9486847939711","11.8873691429509"
"AARS2","14.9848545482221","14.9502642667573","14.9752613509624","14.9541781311514","14.6777746884785","14.8304458830619","15.2846686913366","15.2315587102594","15.2294572422773","14.7476527863474","14.550788863375","14.768070575701"
"TOR2A","12.4613234026817","12.3071751888356","12.2805968012367","13.3144416300369","12.4613438685095","12.2336735970783","11.1676251263589","11.6621520813424","11.6232185025255","12.3222577355837","12.9056897286015","13.5296989602568"
"IQSEC2","10.581558386191","10.9647523887611","11.51510844863","9.76652996716405","10.2861049706661","10.5840942767034","10.8410217609282","11.4731374877723","11.1919721799454","10.5254760803224","10.7874128739059","10.0347682155526"
"TEX30","13.7988970135012","13.4094439754216","12.6160824195148","13.3436576516383","10.4397987167149","11.2477358016418","13.645883554519","14.253522517075","13.8832351358231","13.129870602283","13.4352144639754","13.5164387346079"
"PCID2","14.5320392964284","14.0203028658706","14.3362833878644","14.2525028244604","13.628206286283","13.6762876861479","14.4550189191941","14.5857782474726","14.608861208694","14.225538845105","14.5108197882275","13.8121472156211"
"HABP4","10.5003920561974","10.4088355504585","12.7727949798398","14.162336250997","14.1619821294669","14.055646792018","12.938204914467","12.8115131759533","13.3219421836373","14.4004858960761","14.3225056208462","14.9905161795399"
"GNAS","18.9236495625202","19.2215564417688","19.1597851263955","18.7360550371031","18.7864004578586","18.7165750000325","18.6998570820395","18.5036549543269","18.5359208115177","18.325753416561","18.4009502954648","18.898799163445"
"DOP1A","12.1634326894333","12.2832735989206","11.931705214927","11.8926149116535","12.4410456015392","12.5225300405402","11.5164978299687","12.0776569237949","11.684880087248","11.8103065272202","11.5471355318309","12.0297151400203"
"KIAA1755","12.3585605488896","12.1466418586793","12.4733835929248","10.1643782867721","11.6874388485397","10.4706707041273","11.1461322676297","11.4438710880836","10.5368554610609","10.6018604085222","10.425678445001","10.155298569438"
"SLC27A3","12.8239761963359","12.6422277307062","12.7546871139361","11.7665910209978","12.7475237704551","12.8561842811298","12.5831815144359","12.6228777456054","12.3548912329277","12.1098894053692","11.6915079935015","11.7645979502099"
"SAMD9","13.6793481396559","13.6589478191972","13.8846093675137","15.4750494070697","15.1516983905644","15.2616946123359","12.2896125996432","12.1972597029685","12.4937478934169","15.3824011210769","15.0807384303172","14.722866219493"
"COLEC12","12.84525873075","13.4952929257364","12.7192583221613","14.0024546483768","15.0460965807312","13.1233309095599","15.6778104677966","15.7496835281019","15.8750461637665","12.9953838178497","13.6339034093485","13.6249325008114"
"SPECC1","15.0996601194158","15.0015357441085","15.0248842643571","15.0845883467466","14.8903212843922","14.7417250388796","14.0386361137936","14.0201465731118","14.024853971775","14.3161613021498","14.3833127895433","14.6693667621854"
"RNFT1","10.1738894654025","11.0868328506455","10.9529596002441","10.0276986979071","10.3193355721954","10.9302933433215","10.1538180001302","10.7341337819478","10.5545504816184","11.2087923459538","10.5328016933429","11.5505254948133"
"PPP4R3B","12.8791141443135","12.7137817197172","12.8190773698532","12.761191760472","12.5934191360157","13.3420746679991","13.247964588806","13.2585233412621","13.059685826712","13.1573011398066","12.5821161013786","13.0129195419326"
"WDR45B","11.2246227678653","11.0793914456385","11.3104139714009","14.1782446780264","14.8424190976666","14.9776063893433","10.1439366257377","10.5949403707673","10.5547423217103","13.9258140274509","13.8778975894869","14.5093915210406"
"WIPI1","13.7069707946716","13.8598162319919","13.5698437440137","13.5522848399435","13.2637797465936","13.441206448965","13.7405713442633","13.6750087401959","13.5022724151634","13.1199056822221","11.9703827521758","12.4966865348786"
