name,ID,female_vs_male_p.val,female_vs_male_p.adj,significant,female_vs_male_significant,female_vs_male_ratio,female_centered,male_centered
DOPD,A6NHG4,6.48E-06,0.0124,TRUE,TRUE,0.781,0.39,-0.39
GSTT1,P30711,5.23E-10,1.44E-13,TRUE,TRUE,-2.6,-1.3,1.3
RIR2,P31350,2.15E-09,1.37E-10,TRUE,TRUE,-1,-0.5,0.5
GBP1,Q9H0R5,5.34E-07,5.03E-04,TRUE,TRUE,0.8,0.4,-0.4
GBP2,P32456,9.33E-06,0.0177,TRUE,TRUE,0.613,0.307,-0.307
ACSL1,P33121,1.30E-05,0.0241,TRUE,TRUE,0.614,0.307,-0.307
GBRA3,P34903,6.05E-06,0.0116,TRUE,TRUE,0.903,0.452,-0.452
RL22,P35268,5.59E-06,0.0107,TRUE,TRUE,0.698,0.349,-0.349
TSP2,P35442,5.73E-07,5.61E-04,TRUE,TRUE,1.05,0.527,-0.527
CBS,P35520,5.70E-08,6.52E-06,TRUE,TRUE,-0.914,-0.457,0.457
TIMP3,P35625,1.65E-05,0.0299,TRUE,TRUE,0.907,0.453,-0.453
CH3L1,P36222,2.02E-12,5.40E-14,TRUE,TRUE,3.43,1.71,-1.71
FDFT,P37268,3.92E-08,2.55E-06,TRUE,TRUE,-1.23,-0.616,0.616
CAPG,P40121,1.26E-07,3.84E-05,TRUE,TRUE,0.775,0.388,-0.388
GRIA1,P42261,5.62E-06,0.0107,TRUE,TRUE,-0.819,-0.41,0.41
AK1C3,Q04828,8.52E-08,1.70E-05,TRUE,TRUE,0.911,0.455,-0.455
EAA1,P43003,4.26E-10,5.40E-14,TRUE,TRUE,2.05,1.03,-1.03
EAA2,P43004,1.37E-05,0.0254,TRUE,TRUE,1.54,0.772,-0.772
SATT,P43007,6.52E-06,0.0125,TRUE,TRUE,-0.71,-0.355,0.355
MUC18,P43121,2.57E-08,7.98E-07,TRUE,TRUE,-0.787,-0.393,0.393
NKX21,P43699,1.58E-10,5.40E-14,TRUE,TRUE,-2.41,-1.21,1.21
KI67,P46013,6.66E-08,9.51E-06,TRUE,TRUE,-0.832,-0.416,0.416
RGR,P47804,1.65E-05,0.0299,TRUE,TRUE,1.91,0.954,-0.954
MAOX,P48163,1.55E-07,5.89E-05,TRUE,TRUE,-0.837,-0.418,0.418
SOX2,P48431,2.75E-06,0.00468,TRUE,TRUE,-0.73,-0.365,0.365
GSH1,P48506,4.60E-09,2.81E-09,TRUE,TRUE,0.856,0.428,-0.428
NEST,P48681,1.03E-06,0.00131,TRUE,TRUE,-0.666,-0.333,0.333
AGRE5,P48960,5.51E-06,0.0105,TRUE,TRUE,0.966,0.483,-0.483
MTHFS,P49914,4.22E-07,3.43E-04,TRUE,TRUE,-0.661,-0.33,0.33
HNMT,P50135,5.41E-07,5.13E-04,TRUE,TRUE,1.26,0.632,-0.632
GBG4,P50150,2.66E-07,1.61E-04,TRUE,TRUE,-2.69,-1.35,1.35
MMP14,P50281,6.73E-06,0.0129,TRUE,TRUE,0.588,0.294,-0.294
AT1A2,P50993,7.18E-06,0.0137,TRUE,TRUE,0.689,0.345,-0.345
GPM6A,P51674,1.24E-05,0.0231,TRUE,TRUE,0.924,0.462,-0.462
6PGD,P52209,6.54E-07,6.87E-04,TRUE,TRUE,-0.689,-0.345,0.345
GDIR2,P52566,2.62E-07,1.57E-04,TRUE,TRUE,1.14,0.571,-0.571
EFNB2,P52799,2.94E-05,0.0483,TRUE,TRUE,-0.597,-0.299,0.299
LAMB2,P55268,7.32E-09,1.54E-08,TRUE,TRUE,0.971,0.486,-0.486
UBS3A,P57075,3.22E-06,0.00566,TRUE,TRUE,0.725,0.362,-0.362
STX1B,P61266,5.58E-08,6.21E-06,TRUE,TRUE,0.872,0.436,-0.436
